date,port,fleet,species,landings_t,source_id,quality_flag
2026-01-05,Puerto Norte,artesanal,bonito,12.4,SYN-001,ok
2026-01-05,Puerto Centro,menor_escala,jurel,28.1,SYN-002,ok
2026-01-06,Puerto Sur,artesanal,caballa,9.8,SYN-003,ok
2026-01-07,Puerto Norte,menor_escala,anchoveta,45.0,SYN-004,ok
2026-01-08,Puerto Centro,artesanal,bonito,14.2,SYN-005,review
2026-01-09,Puerto Sur,menor_escala,jurel,31.6,SYN-006,ok
2026-01-10,Puerto Norte,artesanal,caballa,11.3,SYN-007,ok
2026-01-11,Puerto Centro,menor_escala,anchoveta,52.7,SYN-008,ok
2026-01-12,Puerto Sur,artesanal,bonito,8.9,SYN-009,ok
2026-01-13,Puerto Norte,menor_escala,jurel,26.4,SYN-010,review
2026-01-14,Puerto Centro,artesanal,caballa,13.1,SYN-011,ok
2026-01-15,Puerto Sur,menor_escala,anchoveta,48.5,SYN-012,ok
2026-02-03,Puerto Norte,artesanal,bonito,15.0,SYN-013,ok
2026-02-04,Puerto Centro,menor_escala,jurel,29.3,SYN-014,ok
2026-02-05,Puerto Sur,artesanal,caballa,10.1,SYN-015,ok
2026-02-06,Puerto Norte,menor_escala,anchoveta,55.2,SYN-016,review
2026-02-07,Puerto Centro,artesanal,bonito,16.7,SYN-017,ok
2026-02-08,Puerto Sur,menor_escala,jurel,33.0,SYN-018,ok
2026-02-09,Puerto Norte,artesanal,caballa,12.0,SYN-019,ok
2026-02-10,Puerto Centro,menor_escala,anchoveta,49.8,SYN-020,ok
2026-02-11,Puerto Sur,artesanal,bonito,7.5,SYN-021,review
2026-02-12,Puerto Norte,menor_escala,jurel,27.9,SYN-022,ok
2026-02-13,Puerto Centro,artesanal,caballa,14.6,SYN-023,ok
2026-02-14,Puerto Sur,menor_escala,anchoveta,51.1,SYN-024,ok
2026-03-02,Puerto Norte,artesanal,bonito,13.8,SYN-025,ok
2026-03-03,Puerto Centro,menor_escala,jurel,30.5,SYN-026,ok
2026-03-04,Puerto Sur,artesanal,caballa,9.4,SYN-027,review
2026-03-05,Puerto Norte,menor_escala,anchoveta,57.3,SYN-028,ok
2026-03-06,Puerto Centro,artesanal,bonito,15.9,SYN-029,ok
2026-03-07,Puerto Sur,menor_escala,jurel,34.2,SYN-030,ok
2026-03-08,Puerto Norte,artesanal,caballa,11.8,SYN-031,ok
2026-03-09,Puerto Centro,menor_escala,anchoveta,53.6,SYN-032,ok
2026-03-10,Puerto Sur,artesanal,bonito,8.2,SYN-033,ok
2026-03-11,Puerto Norte,menor_escala,jurel,25.7,SYN-034,review
2026-03-12,Puerto Centro,artesanal,caballa,13.9,SYN-035,ok
2026-03-13,Puerto Sur,menor_escala,anchoveta,50.4,SYN-036,ok
2026-03-14,Puerto Norte,artesanal,bonito,14.5,SYN-037,ok
2026-03-15,Puerto Centro,menor_escala,jurel,32.1,SYN-038,ok
2026-03-16,Puerto Sur,artesanal,caballa,-2.0,SYN-039,invalid
2026-03-17,Puerto Norte,menor_escala,anchoveta,54.9,SYN-040,ok
